tweet, sentiment_label
b'RT @TwiriMat: Day three progress. Learnt about Target pools, peering, Load Balancing and Managed instance groups. Cloud is the future peopl\xe2\x80\xa6', Negative
b'RT @AlbertNjane: today is another day in my marathon race to growing with @ALCWithGoogle @googleafrica @GrowWithGoogle..the content is very\xe2\x80\xa6', Negative
b'RT @NoelMbuya: @Andela_Kenya @googleafrica @pluralsight Days 14 - 17 of #150DaysOfALC4 Made progress on javascript content, did more practi\xe2\x80\xa6', Positive
b'@Andela_Kenya @googleafrica @pluralsight Days 14 - 17 of #150DaysOfALC4 Made progress on javascript content, did mo\xe2\x80\xa6 https://t.co/jjJoWYBKfQ', Negative
b'RT @oceandiaali: @nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills After another hour+ of\xe2\x80\xa6', Negative
b'@nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills After another h\xe2\x80\xa6 https://t.co/ZLlaNrETvf', Negative
b'RT @TwiriMat: Day three progress. Learnt about Target pools, peering, Load Balancing and Managed instance groups. Cloud is the future peopl\xe2\x80\xa6', Negative
b'Day three progress. Learnt about Target pools, peering, Load Balancing and Managed instance groups. Cloud is the fu\xe2\x80\xa6 https://t.co/0ge2TwgCb3', Negative
b'RT @oceandiaali: @nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills ..after 2 hours of wor\xe2\x80\xa6', Negative
b'@nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills ..after 2 hours\xe2\x80\xa6 https://t.co/Nvm76uInYv', Negative
b'RT @oceandiaali: @nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills What a crazy day! Fina\xe2\x80\xa6', Negative
